,Companies,locations
217,"['PLANIART', 'GRIIS - Groupe de recherche interdisciplinaire en informatique de la santé', 'Amendis TANGER']","['Sherbrooke, Québec, Canada', 'Sherbrooke, Québec, Canada', 'Sherbrooke', 'Sherbrooke', 'Préfecture de Tanger-Asilah, Morocco']"
218,"['SSL247', 'SSL247', 'DataProtect', 'Supratours S.A.']","['Région de Lille, France', 'Région de Lille, France', 'Préfecture de Casablanca, Morocco', 'Préfecture de Rabat, Morocco']"
219,"['Banque Populaire du Maroc (Groupe) Inc\n        Full-time', 'Banque Populaire du Maroc (Groupe) Inc', 'High Integration Company | HIC', 'DBT Services Maroc']","['Préfecture de Casablanca, Morocco', 'Casablanca, Grand Casablanca, Morocco', 'Casablanca, Maroc', 'Marrakech, Maroc']"
220,"['INVOLYS\n        Internship', 'INTELLCAP SARL', 'AXA']","['Casablanca, Morocco', 'Rabat, Morocco', 'El Jadida, Morocco']"
221,"['iXPath\n        Full-time', 'DIGI4\n        Full-time', 'Masarat App\n        Internship']","['Casablanca, Morocco', 'Temara, Rabat-Sale, Morocco']"
222,"[""Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes - ENSIAS"", 'Haut Commissariat au Plan\n        Internship', 'OCP SA\n        Internship']","['Rabat, Rabat - Salé - Kénitra, Maroc', 'Laâyoune, Sahara Occidental, Maroc', 'Maroc']"
223,"['Berexia\n        Internship', 'Mahkamaty - محكمتي\n        Internship', 'SmartGeo\n        Internship']","['Préfecture de Marrakech, Morocco']"
224,[],[]
225,"['Computime\n        Internship', 'STM Tanger\n        Internship']","['Casablanca, Casablanca-Settat, Maroc', 'Tanger-Tetouan-Al Hoceima, Maroc']"
226,['HOMSYS Maroc\n        Full-time'],"['Casablanca, Morocco']"
227,"['Netfective Technology\n        Internship', 'ENSIAS AI', 'ENSIAS BRIDGE', 'Caisse marocaine des retraites\n        Internship', 'ONEE-Branche Eau\n        Internship']","['Rabat Prefecture, Morocco internship', 'Province de Khémisset, Morocco']"
228,[],[]
229,"['Université Internationale de Rabat\n        Internship', 'Tangier Leadership Program', 'Moroccan Youth Social Entrepreneurs Camp', 'E-nitiate']","['Salé, Rabat-Salé-Kenitra, Morocco', 'Préfecture de Tanger-Asilah, Morocco', 'Préfecture de Rabat, Morocco', 'Province d’Ifrane, Morocco']"
230,[],[]
231,[],[]
232,"['Géolane\n        Permanent', 'Skopai', 'Henceforth\n        Internship', 'M. Inter Gomme']","['Vanves, Île-de-France, France', 'Région de Grenoble, France', 'Préfecture de Rabat, Morocco', 'Meknès, Morocco']"
233,"['Société Générale - Africa Technologies & Services\n        Internship', 'Poste Maroc (Barid Al-Maghrib)', 'Poste Maroc (Barid Al-Maghrib)\n        Internship']","['Maroc', 'Rabat, Morocco', 'Rabat, Morocco']"
234,['Faculté des Sciences Semlalia Marrakech\n        Internship'],"['Marrakech Prefecture, Morocco']"
235,['Iglovely.com\n        Self-employed'],[]
236,[],[]
